   distribution,     param_name,         param_value,         n,           kappa_mad
      student_t,          alpha,                 3.5,      1000,          0.08659712
      student_t,          alpha,                 3.5,   1000000,         0.050915149
      student_t,          alpha,                3.75,         2,          0.22496296
      student_t,          alpha,                3.75,        30,          0.13202188
      student_t,          alpha,                3.75,       100,          0.10659242
      student_t,          alpha,                3.75,      1000,         0.075261053
      student_t,          alpha,                3.75,   1000000,         0.033720864
      student_t,          alpha,                   4,         2,          0.20912878
      student_t,          alpha,                   4,        30,           0.1193941
      student_t,          alpha,                   4,       100,         0.095659817
      student_t,          alpha,                   4,      1000,         0.067183386
      student_t,          alpha,                   4,   1000000,         0.029716024
    exponential,         lambda,                 0.5,         2,          0.20565028
    exponential,         lambda,                 0.5,        30,         0.088014574
    exponential,         lambda,                 0.5,       100,         0.067339005
    exponential,         lambda,                 0.5,      1000,         0.045816938
    exponential,         lambda,                 0.5,   1000000,         0.023197456
    exponential,         lambda,                   1,         2,          0.20565028
    exponential,         lambda,                   1,        30,         0.088014574
    exponential,         lambda,                   1,       100,         0.067339005
    exponential,         lambda,                   1,      1000,         0.045816938
    exponential,         lambda,                   1,   1000000,         0.023197456
    exponential,         lambda,                   2,         2,          0.20565028
    exponential,         lambda,                   2,        30,         0.088014574
    exponential,         lambda,                   2,       100,         0.067339005
    exponential,         lambda,                   2,      1000,         0.045816938
    exponential,         lambda,                   2,   1000000,         0.023197456
      lognormal,          sigma,                0.01,         2,       8.4147052e-05
      lognormal,          sigma,                0.01,        30,       3.3157822e-05
      lognormal,          sigma,                0.01,       100,       2.5080627e-05
      lognormal,          sigma,                0.01,      1000,       1.6876029e-05
      lognormal,          sigma,                0.01,   1000000,       8.4446302e-06
      lognormal,          sigma,                 0.1,         2,        0.0083158094
      lognormal,          sigma,                 0.1,        30,         0.003310711
      lognormal,          sigma,                 0.1,       100,        0.0025061922
      lognormal,          sigma,                 0.1,      1000,        0.0016869429
      lognormal,          sigma,                 0.1,   1000000,       0.00084468646
      lognormal,          sigma,                 0.5,         2,          0.16560147
      lognormal,          sigma,                 0.5,        30,         0.079521767
      lognormal,          sigma,                 0.5,       100,         0.061468478
      lognormal,          sigma,                 0.5,      1000,          0.04198327
      lognormal,          sigma,                 0.5,   1000000,         0.021247464
      lognormal,          sigma,                   1,         2,          0.43025558
      lognormal,          sigma,                   1,        30,          0.27446407
      lognormal,          sigma,                   1,       100,          0.22633219
      lognormal,          sigma,                   1,      1000,          0.16284725
      lognormal,          sigma,                   1,   1000000,          0.08367642
      lognormal,          sigma,                   2,         2,          0.75967592
      lognormal,          sigma,                   2,        30,          0.65698986
      lognormal,          sigma,                   2,       100,           0.6107567
      lognormal,          sigma,                   2,      1000,          0.52262626
      lognormal,          sigma,                   2,   1000000,          0.33280304
      lognormal,          sigma,                   5,         2,          0.99748287
      lognormal,          sigma,                   5,        30,          0.99000332
      lognormal,          sigma,                   5,       100,          0.98305251
      lognormal,          sigma,                   5,      1000,          0.97343719
      lognormal,          sigma,                   5,   1000000,          0.92858467
